Freq,S11_real,S11_imag,S12_real,S12_imag,S21_real,S21_imag,S22_real,S22_imag
20000000.0,-0.4539485558,-0.8611848347,-0.000355176916,0.000212355573,0.0002526850214,0.0002256602877,0.9998891087,0.0082593564
20004000.4,-0.4559817213,-0.860711786,-0.0004518022837,-0.0001560336369,-0.0002790376225,6.816099068e-05,1.000550625,0.00784892778
20008000.8,-0.4570184171,-0.8602817716,-9.400815862e-05,-3.301810558e-05,-0.0003206784322,-0.0001011621434,0.9994822447,0.007049078205
20012001.2,-0.4556300221,-0.8599635447,0.0001284633162,0.0001405517041,-4.715882881e-05,-9.958050317e-05,0.9991700878,0.009802790915
20016001.6,-0.4560459687,-0.8610799267,-0.0004003983046,-0.0001206790977,0.0001854081527,-0.0003215607434,0.9995382554,0.007621686179
20020002.0,-0.4582916446,-0.8576836026,-0.0003560421969,-0.0003928816097,6.695433074e-05,-0.0001016854962,0.9999372587,0.008306023157
20024002.4,-0.4606364381,-0.8613243881,0.0002638610582,0.0001934177914,-0.000234642923,-4.048065282e-05,0.9995510008,0.007456866415
20028002.8,-0.4588987677,-0.8613369801,0.0006291365308,0.000107218578,-7.889014238e-05,-0.0001783805706,0.9990759419,0.008046996242
20032003.2,-0.4581358695,-0.8571311826,-2.578843799e-05,0.0004316773493,0.0002232234001,-0.000174667023,1.000541075,0.00793855848
20036003.6,-0.4599513403,-0.8585560489,0.000657146227,-0.0002121282682,-7.32711742e-05,-0.0001201311143,0.9990228295,0.00902725782
20040004.0,-0.4593877963,-0.8568470355,3.446786457e-05,7.838077926e-05,0.0003582650414,-0.0002084049681,0.9994615749,0.008695204348
20044004.4,-0.460756,-0.8608653924,0.000568447637,0.0002953385214,-5.765203739e-05,3.336024141e-05,0.9990529913,0.008426884378
20048004.8,-0.4617973118,-0.8566746066,-0.0003498026134,3.300316637e-05,-0.0002622658898,-0.0001791234431,0.9999391663,0.01015449249
20052005.201,-0.4603727539,-0.858798031,-4.882298658e-05,-0.0001738602258,4.863424429e-06,-0.0001780854634,1.000281768,0.008302324013
20056005.601,-0.4619349214,-0.8560367396,2.516711904e-05,0.0003363737439,0.000419034604,-0.0001701207698,0.9994629686,0.009099513224
20060006.001,-0.4618510268,-0.8572050357,0.0001907017463,0.000345538104,-0.0002517260999,0.0001535349981,0.9988543737,0.008430541557
20064006.401,-0.4634236101,-0.8591502045,-5.044141669e-05,0.0001052502897,0.0004750755747,-0.0003793946639,0.9990488284,0.008850917263
20068006.801,-0.464257568,-0.8546948618,0.0004222310093,-6.459825818e-05,-7.409664298e-05,-0.0005015720527,0.9997535758,0.008493681897
20072007.201,-0.4637959134,-0.8594740347,-0.0003006941995,-0.0002615715801,0.0001187582977,0.0002804019713,0.9993684875,0.008865281275
20076007.601,-0.4655901423,-0.8563461439,9.380487939e-06,0.0002880989743,0.0002934700111,-3.05840513e-05,1.001012809,0.008666093443
20080008.001,-0.4658893419,-0.8555593746,-0.000444295363,-0.0006852376124,-0.0002144189806,0.000153295206,1.000317118,0.008902574187
20084008.401,-0.4624520322,-0.8539935811,0.0002227850202,0.000400879637,-0.0002026129846,-0.0002951422428,0.9997417445,0.008304085263
20088008.801,-0.4645531697,-0.8570386896,3.527574226e-05,4.951481159e-05,5.687749582e-05,-4.129675825e-05,0.999812423,0.008509492324
20092009.201,-0.4688890044,-0.8559793993,-0.0002672041759,0.000528018455,-0.0001668674743,0.0001267079313,0.9990038462,0.008289246024
20096009.601,-0.4650830803,-0.8539174311,9.862861113e-05,1.844743728e-05,-0.0001411067656,-0.0004335165381,0.9987913382,0.008460437549
20100010.001,-0.4672660213,-0.8538149791,-0.0003103494694,7.648062436e-05,5.191452117e-05,-4.643293932e-05,0.9987750247,0.00917435397
20104010.401,-0.4692167646,-0.8546804526,-0.0002997151714,0.0001064556366,-0.0001831721624,-0.0001814866388,0.9992188282,0.009495985931
20108010.801,-0.4692358888,-0.8524489288,-7.267927631e-05,-0.0001182202998,0.0001200142132,0.0002947333472,0.9992520652,0.007217559847
20112011.201,-0.4689928233,-0.852666545,0.0001103066103,0.0001927120714,0.0003641729573,0.0001662159159,0.9996774696,0.008898822903
20116011.601,-0.4708267358,-0.8543311132,-8.966443258e-05,9.652344666e-05,-2.460811957e-05,-5.0812309e-05,1.000169578,0.007770549402
20120012.001,-0.4696340506,-0.8553817487,0.0003235150726,0.0001749852815,0.0001868110266,-1.732610914e-05,1.000053221,0.008116602905
20124012.401,-0.4721288885,-0.8497460764,0.000441759089,-0.0003280852374,-4.302695659e-05,-0.0001005843665,0.9996849111,0.008474599333
20128012.801,-0.469808081,-0.8521173403,5.616353177e-06,-7.420296068e-06,0.0003868697845,0.0001138254299,0.9998562099,0.008037832194
20132013.201,-0.4703132554,-0.8516748915,-0.0002989303399,9.819527269e-05,-3.449246356e-05,-0.0003146465191,0.9991653376,0.00846616264
20136013.601,-0.4707214987,-0.8516604777,0.0002382517944,7.242227066e-05,-4.807041198e-05,7.358461243e-05,1.000124687,0.009239353792
20140014.001,-0.4761280502,-0.8501476681,0.0001668805098,0.0005289954571,0.0001425408397,-2.608651797e-05,0.9987914173,0.007539470554
20144014.401,-0.4737214498,-0.8533808396,0.0001188803925,-0.0002287524801,-1.845898422e-05,3.515329764e-06,1.00002317,0.009207628685
20148014.801,-0.4750371082,-0.8518323901,-0.0002201941471,-0.0001762694554,9.345764885e-05,-0.000314898919,0.9997871751,0.008741999747
20152015.202,-0.4735037458,-0.8487750388,-0.0005208830445,-0.000561392545,-0.0002058468183,0.0003234321876,0.9996279647,0.008575582513
20156015.602,-0.4743089798,-0.8515034658,8.540999986e-05,0.0001670192129,0.0001630570528,-2.134702782e-05,0.9997223763,0.008102905531
20160016.002,-0.4729720505,-0.8521945064,-0.0003585566081,0.0002309732098,9.991125171e-05,2.228678787e-05,1.000613984,0.009728390187
20164016.402,-0.4744063313,-0.85001287,-0.0001301009733,2.165253461e-05,0.0003332365106,0.0001812058702,0.9995040803,0.008415290233
20168016.802,-0.4738395045,-0.8495571901,-0.0002953275047,0.0003521590949,0.0002574942113,-9.670522671e-05,1.000097951,0.007952232168
20172017.202,-0.4768969073,-0.8508750107,0.0001043716761,3.842795862e-05,0.0002381006805,0.0001611338204,0.9997060069,0.008160131172
20176017.602,-0.479141777,-0.8503117449,-0.0001319575685,-0.0002793123722,-5.052016187e-05,3.816595367e-06,1.00007624,0.009048113379
